Comment,Designator,Footprint,LCSC,Quantity
DF06S,D1,Diode_Bridge_OnSemi_SDIP-4L,C105154,1
470nF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C13967,1
470R,"R1,R2,R3,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710,4
MST22D18G2 125,SW1,SW-SMD_MST22D18G2,C2906280,1
ACS712xLCTR-05B,U1,SOIC-8_3.9x4.9mm_P1.27mm,C44471,1
1nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653,1
100nF,"C2,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,2
470uF,C3,CP_Elec_10x10.5,C5162362,1
LM78M05_TO252,U2,TO-252-2,C58069,1
LED,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256,1
B5819,D2,D_SOD-123,C8598,1
